Code géographique,Elu,Orientation
02713,Marine,EXD
02714,Marine,EXD
02715,Marine,EXD
02716,Marine,EXD
02717,Marine,EXD
02718,Marine,EXD
02719,Marine,EXD
02720,Marine,EXD
02721,Marine,EXD
02722,Marine,EXD
02723,Marine,EXD
02724,Marine,EXD
02725,Marine,EXD
02726,Marine,EXD
02727,Marine,EXD
02728,Marine,EXD
02729,Marine,EXD
02730,Marine,EXD
02731,Marine,EXD
02732,Marine,EXD
02734,Marine,EXD
02735,Emmanuel,C
02736,Marine,EXD
02737,Marine,EXD
02738,Marine,EXD
02739,Marine,EXD
02740,Marine,EXD
02741,Marine,EXD
02742,Marine,EXD
02743,Marine,EXD
02744,Emmanuel,C
02745,Marine,EXD
02746,Marine,EXD
02747,Marine,EXD
02748,Marine,EXD
02749,Marine,EXD
02750,Marine,EXD
02751,Marine,EXD
02752,Marine,EXD
02753,Marine,EXD
02754,Marine,EXD
02755,Marine,EXD
02756,Marine,EXD
02757,Marine,EXD
02758,Marine,EXD
02759,Marine,EXD
02760,Marine,EXD
02761,Marine,EXD
02762,Marine,EXD
02763,Marine,EXD
02764,Marine,EXD
02765,Emmanuel,C
02766,Marine,EXD
02767,Marine,EXD
02768,Marine,EXD
02769,Marine,EXD
02770,Marine,EXD
02772,Marine,EXD
02773,Emmanuel,C
02774,Marine,EXD
02775,Marine,EXD
02776,Marine,EXD
02777,Marine,EXD
02778,Marine,EXD
02779,Marine,EXD
02780,Marine,EXD
02781,Marine,EXD
02782,Marine,EXD
02783,Marine,EXD
02784,Marine,EXD
02785,Marine,EXD
02786,Marine,EXD
02787,Marine,EXD
02788,Marine,EXD
02789,Marine,EXD
02790,Marine,EXD
02791,Marine,EXD
02792,Marine,EXD
02793,Marine,EXD
02794,Marine,EXD
02795,Marine,EXD
02796,Marine,EXD
02797,Marine,EXD
02798,Marine,EXD
02799,Marine,EXD
02800,Marine,EXD
02801,Marine,EXD
02802,Marine,EXD
02803,Marine,EXD
02804,Marine,EXD
02805,Marine,EXD
02806,Marine,EXD
02807,Marine,EXD
02808,Marine,EXD
02809,Éric,EXD
02810,Marine,EXD
02812,Marine,EXD
02813,Marine,EXD
02814,Marine,EXD
02815,Marine,EXD
02816,Marine,EXD
02817,Marine,EXD
02818,Marine,EXD
02819,Marine,EXD
02820,Marine,EXD
02821,Marine,EXD
02822,Marine,EXD
02823,Emmanuel,C
02824,Emmanuel,C
02826,Marine,EXD
02827,Marine,EXD
02828,Marine,EXD
02829,Emmanuel,C
02830,Marine,EXD
02831,Marine,EXD
02832,Marine,EXD
02833,Marine,EXD
02834,Marine,EXD
03001,Emmanuel,C
03002,Jean-Luc,EXG
03003,Marine,EXD
03004,Marine,EXD
03005,Marine,EXD
03006,Marine,EXD
03007,Emmanuel,C
03008,Emmanuel,C
03009,Marine,EXD
03010,Marine,EXD
03011,Marine,EXD
03012,Jean-Luc,EXG
03013,Emmanuel,C
03014,Emmanuel,C
03015,Marine,EXD
03016,Marine,EXD
03017,Marine,EXD
03018,Marine,EXD
03019,Marine,EXD
03020,Marine,EXD
03021,Emmanuel,C
03022,Marine,EXD
03023,Emmanuel,C
03024,Marine,EXD
03025,Marine,EXD
03026,Emmanuel,C
03027,Marine,EXD
03028,Marine,EXD
03029,Marine,EXD
03030,Marine,EXD
03031,Emmanuel,C
03032,Marine,EXD
03033,Marine,EXD
03034,Marine,EXD
03035,Marine,EXD
03036,Jean-Luc,EXG
03037,Marine,EXD
03038,Marine,EXD
03039,Marine,EXD
03040,Emmanuel,C
03041,Emmanuel,C
03042,Emmanuel,C
03043,Marine,EXD
03044,Emmanuel,C
